מזהה,סוג פרק,שם הדמות/הנושא,שנים/תקופה,אזור/מרחב,תקופה,תחום עיקרי,תגיות,תקציר (2–3 שורות),רעיון מרכזי/חידוש,דמויות/השפעות קשורות,קישור ספוטיפיי
83,דמות,"רבי שבתאי הכהן (הש""ך)",1622–1663,פולין,המאה ה־17,"הלכה, חושן משפט, ביקורת מקורות","שפתי כהן, יורה דעה, תקפו כהן, מחלוקת","פוסק גאון שדרש פתיחה מחודשת של ההלכה, עימת את המקובל, חידש בעיון, וספריו הפכו יסוד ללימוד ולפסיקה עד היום.",הלכה כעיון פתוח ולא כקובץ סגור; עקרונות חדשניים בדיני ממונות וספקות.,"הט""ז, מגיני שלמה, מגלה עמוקות",https://open.spotify.com/episode/0zeTxQVV4ZhQFYYST2sO12
84,דמות,רבי אברהם אבלי גומבינר (המגן אברהם),1637–1682,פולין,המאה ה־17,"פסיקה הלכתית, קבלה","מגן אברהם, אורח חיים, זמני היום, קבלה בהלכה","פוסק חשוב שפרשנותו לשולחן ערוך אורח חיים התקבלה להלכה. שילב קבלה בפסיקה, וזמני היום ההלכתיים נמדדים לפיו.",שילוב עומק קבלי בהלכה פסוקה; פסיקה קצרה וברורה בעלת השפעה לאורך הדורות.,"שולחן ערוך, משנה ברורה, האר""י",https://open.spotify.com/episode/5fzAXAiCnkg42WFvOV2dci
85,אישיות,רבי יהודה רוזאניס (1657–1727) – המשנה למלך: עיון תלמודי ופילוסופיית ההלכה,1657–1727,קושטא (האימפריה העות'מאנית),העת החדשה המוקדמת,הלכה,"עיון ברמב""ם; כללים; שיטת לימוד; לוגיקה הלכתית","ר' יהודה רוזאניס, בעל 'משנה למלך': בניית מהלכים לוגיים על הרמב""ם, בירור שיטות הראשונים והשפעה עמוקה על דרך הלימוד.",ההלכה כחכמה שיטתית: לא רק פסיקה מעשית אלא מתודולוגיה שמבררת עקרונות ומבנים.,"הרמב""ם; ר' יוסף קארו; חכמי קושטא",https://spotifycreators-web.app.link/e/1mcxPFf4yQb
86,אישיות,רבי משה חגיז – הקנאי הירושלמי שניסה להציל את היהדות מן הקריסה הפנימית,1671–1750,ירושלים; איטליה; אמסטרדם; אירופה,עת חדשה,פסיקה והנהגה קהילתית,"אחר שבתאות, פולמוס, סמכות חכמים, גבולות קבלה, השכלה, לקט הקמח","חגיז פעל לאחר טראומת השבתאות כקנאי-אחראי להצבת גבולות מול מה שראה כהתפוררות המסורת. משבר אישי הוביל אותו להתמסר לכתיבה ולפולמוס, ולעימותים שהדהדו בקהילות אירופה. ב""לקט הקמח"" ביקש לשרטט סדר מחודש ולהחזיר סמכות הלכתית מרכזית, גם במחיר של קיטוב ומחלוקת.",קנאות כאחריות: שרטוט גבולות כדי למנוע קריסה רוחנית אחרי שבתאות – במחיר גבוה.,"נחמיה חיון; החכם צבי; הרמח""ל; ר' יונתן אייבשיץ",https://open.spotify.com/episode/2kCpBIWS1B2NtObhJemSdG?si=CHbvRGp1RkW_Lj5w4HGnsQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
87,אישיות,הרב אפרים נבון (1677–1735) – מחנה אפרים: עקרונות פסיקה וסדרי קניינים,1677–1735,איזמיר/קושטא,העת החדשה המוקדמת,הלכה,דיני ממונות; קניינים; כללים; שיטת פסיקה,"הרב אפרים נבון, בעל 'מחנה אפרים': סידור עקרונות בדיני קניינים וממונות, בירור שיטות ראשונים והעמדת מערכת כללים בהירה.",דיוק בשורש הסוגיה: פסיקה חזקה נבנית מהבנת מבנה הדין ולא רק מצבירת מקורות.,חכמי איזמיר; ר' יוסף קארו; ר' יהודה רוזאניס,https://spotifycreators-web.app.link/e/9p64oc54yQb
88,"חכמי ישראל - הגות, הנהגה והלכה","רבי ישראל יעקב אלגאזי – הראשון לציון שחיבר בין קבלה, הלכה ומנהיגות ציבורית",1680–1756,איזמיר / ירושלים,אחרונים,"הלכה, קבלה, הנהגה","בית אל, ראשון לציון, תקנות קהל, שלמי ציבור, אהבת שלום",ראש ישיבת בית אל ומנהיג ירושלים; חיבר עשרות ספרים ושילב אחריות ציבורית עם עומק קבלי.,"תורה שמחברת בין נגלה לנסתר ובין בית מדרש לרווחת הקהילה (""דרוש לאלבשה"").",ישיבת בית אל; חמדת ימים (פולמוס); חכמי ירושלים,https://open.spotify.com/episode/3CL54iYhfjNTz1KREt1aJk?si=gqAxPt4HTiW3pe6a4HVETQ
89,אישיות,"הרב יעקב עמדין (יעב""ץ)",1697–1776,גרמניה/אשכנז,העת החדשה,הלכה ופולמוס,"מאבק בשבתאות, לשון חריפה, חכמות כלליות, אוטוביוגרפיה",,,,https://open.spotify.com/episode/1beLl51NE2qBVK8f7hj2Qm?si=wTuZj6lgSkqYtfguLluJ2Q&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
90,"חכמי ישראל - הגות, הנהגה והלכה",רבי משה דוד ואלי (הרמ״ד ואלי),1697–1777,"פדובה, איטליה",עת חדשה מוקדמת,קבלה/פרשנות מקרא,"פשוטו מכוון אל סודו, רמח״ל, כתבים גנוזים",רופא מוסמך וחבר קרוב של הרמח״ל. פיתח שיטת פרשנות: הפשט עצמו רומז לסוד בכל שינוי דקדוקי/לשוני.,מיפוי לשון המקרא למבנה הספירות; דחיית חכמות חיצוניות כתחליף; מפעל פירושים עצום שנחשף רק בדורות האחרונים.,הרמח״ל; חוג פדובה; הדפסת כתבים בדורנו,https://open.spotify.com/episode/6Sc3CiYpTfV68Ke8SueReD
91,אישיות,ר׳ אריה־לייב גינצבורג – “שאגת אריה”,בערך 1695–1785,מזרח אירופה / מץ (צרפת),עת חדשה,פסיקה ועיון תלמודי,"אורח חיים, חריפות, פשט, עצמאות, ביקורת מקרא (תורת הבחינות)","גאון תלמודי ופוסק עצמאי שחי בעוני ונדודים, התנגש בממסד ולא פחד לחלוק. ספרו 'שאגת אריה' נעשה אבן יסוד בפסיקת אורח חיים וחיבוריו נלמדים בעומק.",אמת הלכתית ללא פשרות: דיוק במקורות הראשונים ועצמאות פסיקה – גם במחיר של בדידות ציבורית.,השפעה מאוחרת על הרב מרדכי ברויאר (תורת הבחינות); הערכה בחב״ד,https://open.spotify.com/episode/4tSyrs2SrcNd1WsVBoHZuh?si=fQD3_QT6TqqaEDMyoYR9bw
92,אישיות,רבי אברהם גרשון מקיטוב (1701–1761) – גיס הבעל שם טוב: עלייה לארץ וחסידות מוקדמת,1701–1761,אוקראינה/פולין; ארץ ישראל (ירושלים),העת החדשה,חסידות,"חסידות מוקדמת; עלייה לא""י; קשרי תפוצות-א""י","ר' אברהם גרשון מקיטוב, גיס הבעש""ט: עלייה לארץ ישראל, שליחות רוחנית וקשרי מכתבים שמאירים את ראשית החסידות.",ארץ ישראל כמרחב תיקון: החסידות מבקשת להוריד קדושה למציאות ולמקום.,הבעל שם טוב; עליות חסידים; היישוב הישן,https://spotifycreators-web.app.link/e/HXK4lf94yQb
93,"חכמי ישראל - הגות, הנהגה והלכה",רבי משה חיים לוצאטו (הרמח״ל),1707–1746,פדובה → אמסטרדם → עכו,עת חדשה מוקדמת,קבלה/מוסר/הגות,"מסילת ישרים, דרך ה׳, דעת תבונות, רדיפות",גאון צעיר שעמד במחלוקות וחרמות. 'מסילת ישרים' הפך לספר יסוד במוסר; כתב שיטה היסטוריוסופית קבלית-פילוסופית.,הקבלה כמפת הנהגה וגאולה; בניית סולם רוחני מדויק; קדושה כחדירה למציאות ולא בריחה ממנה.,הגר״א; תנועת המוסר; חסידות; הרב קוק,https://open.spotify.com/episode/1lgKTjkSyrd7SAntCbBGTt
94,אישיות,הרב יחזקאל לנדא – “הנודע ביהודה”,1713–1793,פראג (בוהמיה),עת חדשה,פסיקה והנהגה קהילתית,"שו""ת, שבתאות, חסידות, השכלה, קבלה (זהירות), הנהגה","גדול פוסקי פראג שניצב מול שבתאות, השכלה וחסידות. הכריע באומץ בסוגיות עקרוניות, הנהיג בקור רוח בזמן משברים, ושילב מאבק בכפירה עם אחריות ציבורית.",מנהיגות הלכתית אסטרטגית: לדעת מתי להילחם בגלוי ומתי לרסן כדי לשמור על אחדות הקהילה.,מריה תרזה; יוזף השני; הערכה גם בחוגים חסידיים,https://open.spotify.com/episode/4EJ2FNYaB1FdSuKMRkfonR?si=123rhSTsT6Wga_7NA8Xp_A&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
95,דמות,הנודע ביהודה (הרב יחזקאל לנדא),1713–1793,פראג,עת חדשה,"פסיקה, מנהיגות קהילתית","שאלות ותשובות, פסיקה אשכנזית, נאורות, ביקורת השכלה","פוסק מרכזי במזרח אירופה, מחבר 'נודע ביהודה'. עמד מול אתגרי ההשכלה תוך שימור מסורת הלכתית מחודדת.",הקפדה על מסורת ההלכה לצד התמודדות עם אתגרי הזמן מתוך אחריות ציבורית.,"הרב דוד אופנהיים, חכמי פראג",https://open.spotify.com/episode/4OtzHMEeQArEy5BgF3t52P
96,אישיות,"הרב שלום שרעבי (הרש""ש)",1720–1777,תימן; ירושלים,עת חדשה,מחשבת ישראל (קבלה),"סידור הרש""ש, בית אל, כוונות, חסד","הרש""ש סידר את תורת האר""י למערכת מדויקת והפך למנהיג הקבלה בירושלים.",,,
97,אישיות,רבי אריה לייב הלר (1745–1812) – קצות החושן: לוגיקה הלכתית ועמקות למדנית,1745–1812,גליציה,העת החדשה,הלכה; לומדות,דיני ממונות; קניינים; סברות; מתודולוגיה למדנית,"בעל 'קצות החושן' כמחדש לומדות: דיוק מושגים בדיני ממונות, טיעון חד והשפעה עצומה על עולם הישיבות.",לוגיקה פנימית של ההלכה: בירור הגדרים יוצר בהירות משפטית ומוסרית גם יחד.,נתיבות המשפט; ר' יעקב לורברבוים,https://spotifycreators-web.app.link/e/sGxO35n4yQb
98,דמות,הרב אברהם דנציג,1748–1820,וילנה,המאה ה־18,פסיקה הלכתית,"חיי אדם, חכמת אדם, הלכה למעשה, יהדות ליטא","פוסק ומחבר 'חיי אדם' ו'חכמת אדם'. חיבר מדריכים ברורים ומעשיים להלכה עבור בעלי בתים, מתוך ניסיון אישי כאדם עובד.","שיטת הלכה נגישה לפי כללים, הבחנות בין דרגות חיוב, והפרדה בין ספרי עיון להלכה מעשית.","הגאון מווילנה, בעלי בתים בליטא",https://open.spotify.com/episode/182iEVeFAwTuBZxYCYbdIX
99,"חכמי ישראל - הגות, הנהגה והלכה",רבי חיים מוולוז'ין – מייסד 'אם הישיבות' ו'נפש החיים',1749–1821,וולוז'ין (ליטא),אחרונים,"למדנות, הנהגה, מוסר","וולוז'ין, נפש החיים, הגר""א, עולם הישיבות, תלמוד תורה","תלמיד הגר""א ומייסד ישיבת וולוז'ין. ב'נפש החיים' מציג תיאולוגיה של תורה כמנוע קוסמי וכמודל דבקות.",תלמוד תורה ככוח מחזיק מציאות; דבקות דרך עיון ושיטה מוסדית של ישיבה מודרנית.,"הגר""א; עולם הישיבות הליטאי; פולמוס החסידות",https://open.spotify.com/episode/4doQLfwiMgf2moAjnxiX0V?si=dVrHxoWnRwuydUMeaUTJIg
100,דמות,מנחם מנדל לפין (מסאטנוב),1749–1826,גליציה/פודוליה (מזרח אירופה),השכלה מוקדמת,"מוסר, השכלה דתית","חשבון הנפש, בנג'מין פרנקלין, תנועת המוסר, ישראל סלנטר, רציונליזם","משכיל-רב שגיבש שיטה מעשית לתיקון מידות דרך יומן מוסרי יומי, והשפיע עמוקות על תנועת המוסר דרך מהדורת ר' ישראל סלנטר.",עבודת מידות שיטתית ומדידה (יומן תכונות יומי) כדרך 'השכלה דתית' מתונה ונאמנה לתורה.,משה מנדלסון; בנג'מין פרנקלין; ר' ישראל סלנטר,https://open.spotify.com/episode/7rCLKRa5bSuYAhNFZpUjV5
101,אישיות,הרב עקיבא איגר,1762–1837,פוזנא; מרכז אירופה,עת חדשה,הלכה ולמדנות,"גיליון הש""ס, למדנות, ענווה, מגפת כולרה, פוסקי הדור",רבי עקיבא איגר ביסס את שיטת ההערות הדקות והעיון האנליטי ששינה את פני עולם הישיבות.,,,
102,דמות,"החת""ם סופר (הרב משה סופר)",1762–1839,פרשבורג,העת החדשה,"פסיקה, אורתודוקסיה, הנהגה ציבורית","אורתודוקסיה, נגד רפורמה, חדש אסור, פרשבורג","אבי האורתודוקסיה המודרנית, התנגד לרפורמה בחריפות. קבע את עקרון 'חדש אסור מן התורה' כאידאולוגיה כוללת.",שמרנות כתגובה מהותית למודרנה; חיזוק המסורת והמנהג כנגד התמוססות זהות יהודית.,"חכמי הונגריה, תלמידי החת""ם סופר",https://open.spotify.com/episode/5XBxxBUWyu9fKUK69gjQgx
103,דמות,"רבי חיים פלאג'י (החבי""ף)",1787–1868,איזמיר (האימפריה העות'מאנית),אחרונים (ספרד/המזרח),"הלכה, הנהגה קהילתית, מוסר וקבלה","חכם באשי, תקנות חברתיות, חינוך חובה, כף החיים, מועד לכל חי, שלום בית","פוסק ומנהיג שהקים מוסדות צדקה וחינוך, תיקן תקנות קהילתיות, והותיר מפעל כתיבה עצום למרות אובדן כתבי יד בשריפה.","הלכה כמנהיגות חברתית: מוסר, שלום וחינוך כמערכת ציבורית מחייבת.",חכמי איזמיר; מסורת ספרד-עות'מאנית,https://open.spotify.com/episode/2ugZ7lWueXQOsEw2z6Va03
104,דמות,הרב יהודה ביבאס,1789–1852,גיברלטר/קורפו → ארץ ישראל (חברון),אחרונים (מבשרי הציונות),"הגות לאומית, הנהגה, ציונות מוקדמת","גאולה טבעית, אתערותא דלתתא, חרב ומחרשה, יהודה אלקלעי","רב והוגה שקידם גאולה במעשה ידי אדם, הושפע מרוח הלאומיות של זמנו וקרא להתעוררות לאומית-מדינית; השפיע על תלמידו ר' יהודה אלקלעי.",תשובה כ'שיבה פוליטית' – מעבר מציפייה פסיבית לפעולה היסטורית.,ר' יהודה אלקלעי; מלחמת העצמאות היוונית; מיסיונרים סקוטים (עדויות),https://open.spotify.com/episode/2DXKB6Zr62zP0VwCytZznO
105,אישיות,הרב צבי הירש קלישר – ציונות דתית לפני הרצל,1795–1874,פרוסיה / ארץ ישראל (חזון),עת חדשה מאוחרת,הגות ציונית-דתית והלכה,"גאולה בדרך הטבע, יישוב הארץ, חקלאות, קורבנות בלי בית, מדיניות","פוסק שמרן שניסח תוכנית מעשית לגאולה: עלייה, חקלאות ובניין הארץ “מעט מעט”. הציע מהלכים הלכתיים נועזים (כגון דיון בחידוש קורבנות) ופעל מול נדבנים ומעצמות.",גאולה קמעא קמעא: אחריות אנושית כמצווה – יוזמה לאומית ללא ניתוק מן ההלכה.,מונטיפיורי; רוטשילד; נפוליאון השלישי; 'דרישת ציון',https://open.spotify.com/episode/7CWcx0r0X5jRyzuRCBPBDh?si=gf7x1W04SsWqd3iA4wjpMQ
106,דמות,הרב צבי הירש קלישר,1795–1874,"גרמניה, פולין",העת החדשה,"ציונות דתית מוקדמת, הגות הלכתית","גאולה טבעית, הקרבת קורבנות, התיישבות בארץ","מהוגי הציונות הדתית המוקדמת, קרא ליישוב הארץ והקרבת קורבנות טרם ביאת המשיח.",מהלך גאולה טבעי-אנושי כהשתדלות הכרחית בגאולה.,"הרב אלקלעי, הרב קוק",https://open.spotify.com/episode/0T5EizLF2mu1tavkZ9WUSX
107,אישיות,הרב אליהו גוטמכר,1796–1874,גריידיץ (אירופה) → השפעה על ארץ ישראל,עת חדשה מאוחרת,משיחיות/יישוב הארץ,"אתחלתא דגאולה, חקלאות בארץ, מצוות התלויות בארץ, גאולה בדרך הטבע",,,,https://open.spotify.com/episode/3iEFTRWSwf4AJJ7lCw5SHe?si=W7kQzorhSIiFfwM6khgvjQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
108,אישיות,הרב יהודה אלקלעי – תשובה שהופכת לתוכנית לאומית,1798–1878,הבלקן,עת חדשה מאוחרת,הגות ציונית-דתית,"תשובה כללית, שיבה לארץ, דיפלומטיה, שפה עברית, אחדות","הוגה ציוני-דתי מוקדם שמפרש 'תשובה' כתהליך לאומי: שיבה לארץ היא עצמה הגאולה. מציע תכנית פעולה: חברות כלכליות, יוזמות מדיניות ואחידות לאומית סביב עברית וזהות אחת.",תשובה כללית = שיבה: אחריות היסטורית עוברת מן השמיים לאדם ולציבור.,קשר רעיוני למשפחת הרצל (כפי שנרמז בטקסט); מבשרי חיבת ציון,https://open.spotify.com/episode/6GD0RxzoBaG17nmaGA9pe9?si=qeIXN4iwRIWsOjztQ5cWoQ
109,דמות,הרב יהודה אלקלעי,1798–1878,"סרביה, ירושלים",עת חדשה,"ציונות, קבלה, דרשנות","ציונות דתית, גאולה, משיח בן יוסף, יישוב הארץ",מראשוני ההוגים שראו בתנועה הציונית אתחלתא דגאולה. חיבר ספרים שקראו לעלייה ולתחייה רוחנית.,מהלך גאולי הדרגתי מלווה בהשתדלות מעשית – קירוב משיח בן יוסף.,"הרב צבי הירש קלישר, הרב קוק",https://open.spotify.com/episode/4vNN4NEB3pFnQkALkPPq1v
110,אישיות,"שד""ל – הלוחם האחרון של היהדות הרגשית מול כיבוש השכל היווני",1800–1865,פאדובה; איטליה,עת חדשה מאוחרת,פרשנות מקרא ולשון,"חכמת ישראל, פרשנות מקרא, פילולוגיה, רציונליזם, אמונה, חמלה, ביקורת יוון","שד""ל טען שהיהדות האותנטית היא דת של חמלה ואמונה ולא של שכל קר, ובנה מפעל מדעי (לשון, מקרא, ביקורת טקסט) כדי להגן על חיות המסורת. הוא נאבק בחוגי חכמת ישראל שנראו לו כמי שהופכים יהדות לארכיאולוגיה, ותקף את הכנסת ""חכמת יוון"" ליהדות. כאב חייו חיזק אצלו את עליונות האמונה והמעשה הטוב.",הגנה על יהדות של חמלה ואמונה מול רציונליזם קר – באמצעות מחקר מקרא ולשון.,"חכמת ישראל; רמב""ם; ראב""ע; שפינוזה",https://open.spotify.com/episode/03tAgaC9jfaMhMJ2rvW4uF?si=cgIj0F37SiKtDyDT85ZqKA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
111,דמות,"הרב צבי הירש חיות (מהר""ץ חיות)",1805–1855,גליציה,אחרונים (גליציה/השכלה),"תורה שבעל פה, הגנה על המסורת, מתודולוגיה","מנחת קנאות, תורת נביאים, אמנציפציה, גשר מסורת-מחקר","גדול תורה בגליציה שניסה לגשר בין מחקר זהיר לבין נאמנות מוחלטת לתורה שבעל פה, ובנה שפה של הגנה אינטלקטואלית על המסורת.",גשר נאמן: פתיחות דעת המשרתת אמונה – לא מחליפה אותה.,"חת""ם סופר; שלמה קלוגר; נחמן קרוכמל (רנ""ק)",https://open.spotify.com/episode/7qsdQhzQdtrX80wVbwkfmZ
112,דמות,רבי יעקב אבוחצירא,1806–1880,מרוקו,העת החדשה,"קבלה, הלכה, הנהגה קהילתית","אביר יעקב, תאפילאלת, פיוט, מקובל, שושלת אבוחצירא","מקובל ופוסק בולט ממרוקו, מנהיג רוחני שנודע בפרישותו ובגדלותו בתורה. השפעתו ניכרת עד היום בשושלת אבוחצירא.",חיבור בין קבלה להלכה מתוך ענווה; תיקון אישי וחברתי כתכלית התורה.,"הבבא סאלי, מקובלי מרוקו",https://open.spotify.com/episode/2Er963loo0uKztvzqzvPlA
113,חכם,רבי ישראל מסלנט,1810–1883,ליטא,העת החדשה,"מוסר, חינוך","תנועת המוסר, קלם, סלבודקה, נובהרדוק","מייסד תנועת המוסר, הציב את העבודה הפנימית בלב החיים התורניים, ראה במידות יסוד התשובה.",הבחנה פסיכולוגית בין השכל לרגש – רק דרך מוסר ועבודה פנימית משתנה האדם.,"תלמידי קלם, נובהרדוק",https://open.spotify.com/episode/6SEbHVgsFhOJsCIvwTInSY
114,הגות,אדולף פראנק – הקבלה כפילוסופיה דתית,1810–1893,גרמניה,העת החדשה,"קבלה, פילוסופיה, תולדות הדתות","קבלה, פילוסופיה, הדתות, גרמניה, חקר היהדות",משכיל גרמני שביקש להנגיש את תורת הקבלה כתיאולוגיה פילוסופית עמוקה – לא מיסטיקה נחותה.,הקבלה כצורת חשיבה מטאפיזית שיש לה משמעות אוניברסלית דתית.,"שלמה מונק, משה מנדלסון, תלמידי שפינוזה",https://open.spotify.com/episode/3tiM1FAhaIv7zvVuY5FkBE
115,,הרב שמואל סלנט,1816–1909,,אחרונים,"הלכה, הנהגה ציבורית",,"רבה האשכנזי של ירושלים, מהדמויות המרכזיות בבניית היישוב הישן וירושלים החדשה. הנהיג את הקהילה כמעט שבעים שנה, הקים מוסדות, איחד כוללים ופעל לשילוב הלכה עם אחריות ציבורית.","מנהיגות תורנית־חברתית שמבינה את צרכי הציבור. גישת 'כח דהיתרא' באחריות, תשתית חינוכית וציבורית, ענווה וצניעות אישית.","רבי יוסף זונדל מסלנט, הרב יעקב שאול אלישר, הרצל",https://open.spotify.com/episode/6IZbp5APF1EvHCXfsHDjsf
116,חכם,"המהרי""ל דיסקין",1818–1898,"ליטא, ירושלים",העת החדשה,"הלכה, הנהגה חרדית","בריסק, בית היתומים דיסקין, פולמוס השמיטה, התבדלות קהילתית","מייסד דגם ההנהגה החרדית בירושלים, מתנגד חריף להשכלה, פעל להקמת מוסדות תורה וחברה.","בניית אוטונומיה חרדית, שילוב של תקיפות פסיקתית עם בניית מוסדות תומכים.","הרבנית סוניה דיסקין, בית בריסק",https://open.spotify.com/episode/6Bp9QqhUSS3A8y5iZkBU55
117,אישיות,הרב צדוק הכהן מלובלין – המיסטיקן האינטלקטואלי,1823–1900,ליטא / לובלין,עת חדשה מאוחרת,חסידות והגות,"ספק כתנאי לתורה, תשובה, חטא וזכות, תורה שבעל פה, איזביצא","עילוי ליטאי שנהפך לחסיד בעקבות מפגש עם ר׳ מרדכי יוסף מאיז׳ביצא. מציע תיאולוגיה שבה תורה שבעל‑פה היא התגלות מתמשכת דרך מאבק אנושי, וספק הוא תנאי לגילוי עמוק.",הנפילה כחלק מהמהלך: חטא ותשובה נקראים לאחור כחלק מרצון ה׳; הסכנה האמיתית היא ייאוש.,ר׳ מרדכי יוסף מאיז׳ביצא; הרב דסלר; הרב הוטנר,https://open.spotify.com/episode/6DLhfveOXBJupYoYqgceWx?si=zrPEwB1LQjua2OW_BkVXPw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
118,אישיות,"אליהו בן אמוזג – ההוגה שדחו הדורות, אך רעיונו התגלה כגדול מדורותיו",1823–1900,ליבורנו; איטליה,עת חדשה מאוחרת,מוסר והגות,"קבלה, פילוסופיה מודרנית, קאנט, הגל, שפינוזה, דרווין, בני נח, אוניברסליות","בן אמוזג הציג את הקבלה כלב היהדות וכמערכת שמסוגלת לפרש ולבקר את המודרנה (משפינוזה ועד קאנט ודרווין). הוא ניסח חזון דו-קומתי: ישראל כשומר תורת משה ותורת בני נח כיעד אוניברסלי לאנושות. אף שנדחה בין מחנות, בדורות האחרונים נחשף מחדש כמציע מודרנה של שילוב ולא של ניתוק.",קבלה כאוניברסליות יהודית: חיבור מסורת סוד עם פילוסופיה מודרנית וחזון בני נח.,"שפינוזה; הגל; קאנט; דרווין; שד""ל",https://open.spotify.com/episode/66ocgEWzF0dAp3RmcvYSAn?si=kkTXOdjtTHi39U7Ohf1yTg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
119,דמות,הרב צדוק הכהן מלובלין,1823–1900,פולין,עת חדשה,"קבלה, חסידות, הגות","חסידות, קבלה, דרוש, תיקון, חדשנות","מההוגים המקוריים בחסידות, חיבר את 'צדקת הצדיק' וחיבורים נוספים המשלבים עומק רעיוני עם חיפוש אישי.",הרע במקורו הוא הכנה לטוב; התשוקה היא מנוע לתיקון.,"הרבי מאיזביצה, תלמידי קוצק",https://open.spotify.com/episode/6XLsSvlI1KwSYKZXDhyaTD
120,אישיות,הרב שמואל מוהליבר – מנהיג דתי ומבשר הציונות,1824–1898,מזרח אירופה / ארץ ישראל (מפעל היישוב),עת חדשה מאוחרת,מנהיגות ציונית-דתית,"חיבת ציון, אחדות דתיים-חילונים, היתר מכירה, התיישבות","מנהיג חיבת ציון שהבין שהשיבה לארץ היא משימה מעשית. יצר גשר בין דתיים לחילונים, פעל עם רוטשילד להקמת מושבות, ותמך בהיתר מכירה בפולמוס השמיטה כדי להציל את ההתיישבות.",ברית ציבורית רחבה כצורך גאולי: אחדות בין כוחות שונים בעם כדי לבנות מציאות.,הרצל (כינויו בטקסט); הרב קוק (הספד); רוטשילד; מזכרת בתיה,https://open.spotify.com/episode/5T2FtQnfoEkvsFnCYyFBcQ?si=B9g6mdr7TtqbzlQnC1gTMA
121,דמות,הרב שמואל מוהליבר,1824–1898,פולין,העת החדשה,"ציונות דתית, רבנות, הנהגה ציבורית","חובבי ציון, פועלי אגודת ישראל, הנהגה רוחנית","מרבני תנועת חובבי ציון, חיפש דרך לשלב מסורת עם תחייה לאומית. עודד התיישבות יהודית בארץ.",השתלבות הציונות במסגרת ההלכה כמחויבות דתית ולאומית.,"הרב קלישר, הרב אלקלעי, הרצל",https://open.spotify.com/episode/2z6Y3bfXsFTNHPvI0HsiJq
122,אישיות,ר׳ יחיאל מיכל הלוי אפשטיין – “ערוך השולחן”,1829–1908,נובהרדוק (מזרח אירופה),עת חדשה מאוחרת,פסיקה קהילתית,"הלכה למעשה, מנהג, מודרנה, עוני, אנטישמיות, משנה ברורה","רב קהילה שפסק מתוך 'מבט מן החלון': להבין קודם את חיי האנשים ואז לחזור למקורות. כותב קודקס בהיר ושיטתי עם נטייה לאשש מנהגים ולהקל כשצריך, מול משברי תקופה.",פסיקה מציאותית נאמנה למסורת: דיאלוג אמיץ בין טקסט לחיים במקום חומרות מנותקות.,בעל המשנה ברורה (השוואה בטקסט); ברוך הלוי אפשטיין (תורה תמימה),https://open.spotify.com/episode/1reKfnLOTfoSzBHRhzGMbe?si=g78LXL5_Q12g6IpvjyRTMQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
123,דמות,ערוך השולחן (הרב יחיאל מיכל אפשטיין),1829–1908,"נובהרודוק, רוסיה",המאה ה־19,"פסיקה, הלכה מערכתית","הלכה, ערוך השולחן, שיטתיות, סמכות רבנית",מחבר סדרת ספרי ההלכה 'ערוך השולחן' שפרשו את כל השולחן ערוך בגישה חדשנית ומסכמת.,"הצגת ההלכה כישות חיה, עכשווית, ובעלת סמכות מתוך שורשיה.","הרב יוסף קארו, שולחן ערוך",https://open.spotify.com/episode/3zRwIpWZs0YUrRrpGcndte
124,,הרב חיים חזקיהו מדיני,1832–1904,,אחרונים,"הלכה, אנציקלופדיסטיקה תורנית",,"מחבר ה'שדי חמד' – אנציקלופדיה הלכתית בת 18 כרכים. פעל בקהילות ספרדיות ואשכנזיות, איחד מסורות הלכתיות שונות ויצר כלים מתודולוגיים חדשניים לעולם הפסיקה.","סדר ובהירות בעומס הפסיקה. סינתזה של מסורות, עמל מתמשך וראייה מערכתית של התורה.","חכמי ליטא, ספרד, חב""ד",https://open.spotify.com/episode/7G1e30kwtU62b50Mao1pdn
