מזהה,סוג פרק,שם הדמות/הנושא,שנים/תקופה,אזור/מרחב,תקופה,תחום עיקרי,תגיות,תקציר (2–3 שורות),רעיון מרכזי/חידוש,דמויות/השפעות קשורות,קישור ספוטיפיי
93,דמות,הרב יהודה אלקלעי,1798–1878,"סרביה, ירושלים",עת חדשה,"ציונות, קבלה, דרשנות","ציונות דתית, גאולה, משיח בן יוסף, יישוב הארץ",מראשוני ההוגים שראו בתנועה הציונית אתחלתא דגאולה. חיבר ספרים שקראו לעלייה ולתחייה רוחנית.,מהלך גאולי הדרגתי מלווה בהשתדלות מעשית – קירוב משיח בן יוסף.,"הרב צבי הירש קלישר, הרב קוק",https://open.spotify.com/episode/6GD0RxzoBaG17nmaGA9pe9?si=qeIXN4iwRIWsOjztQ5cWoQ
94,אישיות,"שד""ל – הלוחם האחרון של היהדות הרגשית מול כיבוש השכל היווני",1800–1865,פאדובה; איטליה,עת חדשה מאוחרת,פרשנות מקרא ולשון,"חכמת ישראל, פרשנות מקרא, פילולוגיה, רציונליזם, אמונה, חמלה, ביקורת יוון","שד""ל טען שהיהדות האותנטית היא דת של חמלה ואמונה ולא של שכל קר, ובנה מפעל מדעי (לשון, מקרא, ביקורת טקסט) כדי להגן על חיות המסורת. הוא נאבק בחוגי חכמת ישראל שנראו לו כמי שהופכים יהדות לארכיאולוגיה, ותקף את הכנסת ""חכמת יוון"" ליהדות. כאב חייו חיזק אצלו את עליונות האמונה והמעשה הטוב.",הגנה על יהדות של חמלה ואמונה מול רציונליזם קר – באמצעות מחקר מקרא ולשון.,"חכמת ישראל; רמב""ם; ראב""ע; שפינוזה",https://open.spotify.com/episode/03tAgaC9jfaMhMJ2rvW4uF?si=cgIj0F37SiKtDyDT85ZqKA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
95,דמות,"הרב צבי הירש חיות (מהר""ץ חיות)",1805–1855,גליציה,אחרונים (גליציה/השכלה),"תורה שבעל פה, הגנה על המסורת, מתודולוגיה","מנחת קנאות, תורת נביאים, אמנציפציה, גשר מסורת-מחקר","גדול תורה בגליציה שניסה לגשר בין מחקר זהיר לבין נאמנות מוחלטת לתורה שבעל פה, ובנה שפה של הגנה אינטלקטואלית על המסורת.",גשר נאמן: פתיחות דעת המשרתת אמונה – לא מחליפה אותה.,"חת""ם סופר; שלמה קלוגר; נחמן קרוכמל (רנ""ק)",https://open.spotify.com/episode/7qsdQhzQdtrX80wVbwkfmZ?si=S2DwwGzBRYmlghp2mIL60w&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
96,דמות,רבי יעקב אבוחצירא,1806–1880,מרוקו,העת החדשה,"קבלה, הלכה, הנהגה קהילתית","אביר יעקב, תאפילאלת, פיוט, מקובל, שושלת אבוחצירא","מקובל ופוסק בולט ממרוקו, מנהיג רוחני שנודע בפרישותו ובגדלותו בתורה. השפעתו ניכרת עד היום בשושלת אבוחצירא.",חיבור בין קבלה להלכה מתוך ענווה; תיקון אישי וחברתי כתכלית התורה.,"הבבא סאלי, מקובלי מרוקו",https://open.spotify.com/episode/2Er963loo0uKztvzqzvPlA?si=jw2lJSVATzmaKrJ6oEV_mA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
97,חכם,רבי ישראל מסלנט,1810–1883,ליטא,העת החדשה,"מוסר, חינוך","תנועת המוסר, קלם, סלבודקה, נובהרדוק","מייסד תנועת המוסר, הציב את העבודה הפנימית בלב החיים התורניים, ראה במידות יסוד התשובה.",הבחנה פסיכולוגית בין השכל לרגש – רק דרך מוסר ועבודה פנימית משתנה האדם.,"תלמידי קלם, נובהרדוק",https://open.spotify.com/episode/6SEbHVgsFhOJsCIvwTInSY?si=zzR5DmxLSuOfE7S1j6rFIw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
98,הגות,אדולף פראנק – הקבלה כפילוסופיה דתית,1810–1893,גרמניה,העת החדשה,"קבלה, פילוסופיה, תולדות הדתות","קבלה, פילוסופיה, הדתות, גרמניה, חקר היהדות",משכיל גרמני שביקש להנגיש את תורת הקבלה כתיאולוגיה פילוסופית עמוקה – לא מיסטיקה נחותה.,הקבלה כצורת חשיבה מטאפיזית שיש לה משמעות אוניברסלית דתית.,"שלמה מונק, משה מנדלסון, תלמידי שפינוזה",https://open.spotify.com/episode/5qiFDQTROpb7v21w4imqIE?si=N2J3HnklTRW2Gm-BmT4SFA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
99,חכם,"המהרי""ל דיסקין",1818–1898,"ליטא, ירושלים",העת החדשה,"הלכה, הנהגה חרדית","בריסק, בית היתומים דיסקין, פולמוס השמיטה, התבדלות קהילתית","מייסד דגם ההנהגה החרדית בירושלים, מתנגד חריף להשכלה, פעל להקמת מוסדות תורה וחברה.","בניית אוטונומיה חרדית, שילוב של תקיפות פסיקתית עם בניית מוסדות תומכים.","הרבנית סוניה דיסקין, בית בריסק",https://open.spotify.com/episode/6Bp9QqhUSS3A8y5iZkBU55?si=27mj_nOFTUubLTBLgsGHfQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
100,אישיות,הרב צדוק הכהן מלובלין – המיסטיקן האינטלקטואלי,1823–1900,ליטא / לובלין,עת חדשה מאוחרת,חסידות והגות,"ספק כתנאי לתורה, תשובה, חטא וזכות, תורה שבעל פה, איזביצא","עילוי ליטאי שנהפך לחסיד בעקבות מפגש עם ר׳ מרדכי יוסף מאיז׳ביצא. מציע תיאולוגיה שבה תורה שבעל‑פה היא התגלות מתמשכת דרך מאבק אנושי, וספק הוא תנאי לגילוי עמוק.",הנפילה כחלק מהמהלך: חטא ותשובה נקראים לאחור כחלק מרצון ה׳; הסכנה האמיתית היא ייאוש.,ר׳ מרדכי יוסף מאיז׳ביצא; הרב דסלר; הרב הוטנר,https://open.spotify.com/episode/6DLhfveOXBJupYoYqgceWx?si=zrPEwB1LQjua2OW_BkVXPw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
101,אישיות,"אליהו בן אמוזג – ההוגה שדחו הדורות, אך רעיונו התגלה כגדול מדורותיו",1823–1900,ליבורנו; איטליה,עת חדשה מאוחרת,מוסר והגות,"קבלה, פילוסופיה מודרנית, קאנט, הגל, שפינוזה, דרווין, בני נח, אוניברסליות","בן אמוזג הציג את הקבלה כלב היהדות וכמערכת שמסוגלת לפרש ולבקר את המודרנה (משפינוזה ועד קאנט ודרווין). הוא ניסח חזון דו-קומתי: ישראל כשומר תורת משה ותורת בני נח כיעד אוניברסלי לאנושות. אף שנדחה בין מחנות, בדורות האחרונים נחשף מחדש כמציע מודרנה של שילוב ולא של ניתוק.",קבלה כאוניברסליות יהודית: חיבור מסורת סוד עם פילוסופיה מודרנית וחזון בני נח.,"שפינוזה; הגל; קאנט; דרווין; שד""ל",https://open.spotify.com/episode/66ocgEWzF0dAp3RmcvYSAn?si=kkTXOdjtTHi39U7Ohf1yTg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
102,דמות,הרב צדוק הכהן מלובלין,1823–1900,פולין,עת חדשה,"קבלה, חסידות, הגות","חסידות, קבלה, דרוש, תיקון, חדשנות","מההוגים המקוריים בחסידות, חיבר את 'צדקת הצדיק' וחיבורים נוספים המשלבים עומק רעיוני עם חיפוש אישי.",הרע במקורו הוא הכנה לטוב; התשוקה היא מנוע לתיקון.,"הרבי מאיזביצה, תלמידי קוצק",https://open.spotify.com/episode/6DLhfveOXBJupYoYqgceWx?si=zrPEwB1LQjua2OW_BkVXPw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
103,אישיות,הרב שמואל מוהליבר – מנהיג דתי ומבשר הציונות,1824–1898,מזרח אירופה / ארץ ישראל (מפעל היישוב),עת חדשה מאוחרת,מנהיגות ציונית-דתית,"חיבת ציון, אחדות דתיים-חילונים, היתר מכירה, התיישבות","מנהיג חיבת ציון שהבין שהשיבה לארץ היא משימה מעשית. יצר גשר בין דתיים לחילונים, פעל עם רוטשילד להקמת מושבות, ותמך בהיתר מכירה בפולמוס השמיטה כדי להציל את ההתיישבות.",ברית ציבורית רחבה כצורך גאולי: אחדות בין כוחות שונים בעם כדי לבנות מציאות.,הרצל (כינויו בטקסט); הרב קוק (הספד); רוטשילד; מזכרת בתיה,https://open.spotify.com/episode/5T2FtQnfoEkvsFnCYyFBcQ?si=B9g6mdr7TtqbzlQnC1gTMA
104,דמות,הרב שמואל מוהליבר,1824–1898,פולין,העת החדשה,"ציונות דתית, רבנות, הנהגה ציבורית","חובבי ציון, פועלי אגודת ישראל, הנהגה רוחנית","מרבני תנועת חובבי ציון, חיפש דרך לשלב מסורת עם תחייה לאומית. עודד התיישבות יהודית בארץ.",השתלבות הציונות במסגרת ההלכה כמחויבות דתית ולאומית.,"הרב קלישר, הרב אלקלעי, הרצל",https://open.spotify.com/episode/5T2FtQnfoEkvsFnCYyFBcQ?si=B9g6mdr7TtqbzlQnC1gTMA
105,אישיות,ר׳ יחיאל מיכל הלוי אפשטיין – “ערוך השולחן”,1829–1908,נובהרדוק (מזרח אירופה),עת חדשה מאוחרת,פסיקה קהילתית,"הלכה למעשה, מנהג, מודרנה, עוני, אנטישמיות, משנה ברורה","רב קהילה שפסק מתוך 'מבט מן החלון': להבין קודם את חיי האנשים ואז לחזור למקורות. כותב קודקס בהיר ושיטתי עם נטייה לאשש מנהגים ולהקל כשצריך, מול משברי תקופה.",פסיקה מציאותית נאמנה למסורת: דיאלוג אמיץ בין טקסט לחיים במקום חומרות מנותקות.,בעל המשנה ברורה (השוואה בטקסט); ברוך הלוי אפשטיין (תורה תמימה),https://open.spotify.com/episode/1reKfnLOTfoSzBHRhzGMbe?si=g78LXL5_Q12g6IpvjyRTMQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
106,דמות,ערוך השולחן (הרב יחיאל מיכל אפשטיין),1829–1908,"נובהרודוק, רוסיה",המאה ה־19,"פסיקה, הלכה מערכתית","הלכה, ערוך השולחן, שיטתיות, סמכות רבנית",מחבר סדרת ספרי ההלכה 'ערוך השולחן' שפרשו את כל השולחן ערוך בגישה חדשנית ומסכמת.,"הצגת ההלכה כישות חיה, עכשווית, ובעלת סמכות מתוך שורשיה.","הרב יוסף קארו, שולחן ערוך",https://open.spotify.com/episode/1reKfnLOTfoSzBHRhzGMbe?si=g78LXL5_Q12g6IpvjyRTMQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
107,אישיות,הרב יוסף חיים מבגדאד – “בן איש חי” (לא מה שחשבתם),1835–1909,בגדאד,עת חדשה מאוחרת,"הלכה, קבלה והגות חברתית","ביקורת חברתית, מעמדות, טנזימאט, פסיקה, פיוט, קבלה","דמות רב-פנים: מגדולי פוסקי המזרח וגם הוגה חברתי. לאחר משבר אישי וכלכלי פיתח שפה שמחברת תורה למציאות של יחסי כוח, ומעניקה לעניים ידע מוסרי ייחודי.",תורה כפרשנות חברתית: הפסיקה והדרשה חושפות עוולות ומחייבות אחריות מוסרית – בלי לוותר על עומק הלכתי וקבלי.,רפורמות הטנזימאט; דיון מודרני על שוויון וזהות; מסורת יהדות בבל,https://open.spotify.com/episode/5mA6IjVV5SbxfT0OfQ22Ad?si=-IWNH499SoGWQ6XF5UUQbg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
108,דמות,הבן איש חי (רבי יוסף חיים מבגדד),1835–1909,בגדד,עת חדשה,"פסיקה, קבלה, דרשנות","הלכה, קבלה, דרשות, יהדות מזרח, הבן איש חי","פוסק גדול, מקובל ודרשן נודע מהעולם הספרדי בבגדד, שחיבר את 'בן איש חי' – שילוב של הלכה, אגדה וקבלה.",שילוב בין קבלה להלכה; כתיבה פופולרית נגישה לקהל הרחב עם נופך מוסרי.,"רבי עבדאללה סומך, חכמי בבל",https://open.spotify.com/episode/5mA6IjVV5SbxfT0OfQ22Ad?si=-IWNH499SoGWQ6XF5UUQbg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
109,דמות,החפץ חיים (רבי ישראל מאיר הכהן),1839–1933,"ראדין, ליטא",העת החדשה,"הלכה, מוסר","משנה ברורה, שמירת הלשון, אחריות מוסרית, ענווה","מחבר 'משנה ברורה' ו'חפץ חיים'. שילב בין פסיקה מעשית למוסר הלכתי, והפך לדמות מוסרית מכוננת בעידן מודרני.",הפיכת המוסר להלכה מחייבת. קדושה מעשית שמתחילה בלשון.,"אגודת ישראל, רשת בית יעקב",https://open.spotify.com/episode/4xzoaG2b7YdsCB3rb0aPPf?si=btk5W-gfQRekfBks0sM0yg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
110,"חכמי ישראל - הגות, הנהגה והלכה",רבי מאיר שמחה הכהן מדווינסק,1843–1926,דווינסק (לטביה/ליטא),עת חדשה מאוחרת,הלכה/פרשנות תורה/מחשבה ציונית,"אור שמח, משך חכמה, גלות וזהות, שבועות",מחבר 'אור שמח' ו'משך חכמה'. גשר בין שכל לאמונה ובין גלות לתחייה; ניתוח חריף של היסטוריה יהודית וקדושה.,הגלות כמנגנון זהות; קדושה אינה בחומר אלא ברצון ה׳; ציונות וגאולה בדרך הטבע (בלפור/סן-רמו).,הרמב״ם; הרב קוק; עידן התחייה,https://open.spotify.com/episode/5M242GRqncgReaYVplhjBU?si=kExelQsrSvKhuQj0wk2How&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
111,"חכמי ישראל - הגות, הנהגה והלכה",השפת אמת – ההוגה שחיפש את האמת הפנימית,1847–1905,גור (פולין),אחרונים,"חסידות, הגות","שפת אמת, גור, נקודה פנימית, גלות וגאולה, ניצוצות","אדמו""ר גור ומגדולי הוגי החסידות. יצר שפה מיסטית־קיומית על גלות כהסתר וגאולה כגילוי.","""הנקודה הפנימית"" ככלי לעבודת ה' וקריאת המציאות: העלאת אור מתוך חושך.",חסידות גור; שיח חסידי פולין,https://open.spotify.com/episode/2rV5jFlhaSLJasVNdd0rMf?si=WT92_boJSQK5yW0aO6dfLQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
112,"חכמי ישראל - הגות, הנהגה והלכה",הסבא מנובהרדוק – מהפכת המוסר של 'מדרגת האדם',1850–1919,נובהרדוק (ליטא/רוסיה),אחרונים,"מוסר, חינוך","נובהרדוק, תנועת המוסר, שבירת האגו, תורת הנגיעה, ישיבות בית יוסף",תלמיד ר' ישראל סלנטר ומייסד רשת ישיבות 'בית יוסף'. פיתח שיטה חינוכית רדיקלית של תיקון מידות ותלות מוחלטת בה'.,תרגילי מוסר כמעבדה לנפש: חשיפת מניעים נסתרים ובניית אומץ אמוני מעשי.,רבי ישראל סלנטר; עולם הישיבות; תנועת המוסר,https://open.spotify.com/episode/7gMcU9ypTl2wkJLtZmnT6S?si=vpTwypCqRkGf8W0l2TnEtg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
113,"חכמי ישראל - הגות, הנהגה והלכה",הרב שמואל בורנשטיין – בעל 'שם משמואל',1855–1926,סוכטשוב (פולין),אחרונים,"חסידות, הגות","שם משמואל, אבני נזר, קוצק, אורות מקיפים, עבודת הנפש","אדמו""ר והוגה חסידי מרכזי; דרשותיו משלבות סוד, פסיכולוגיה רוחנית ותיקון המידות.","תפיסת 'מקיפים' והעמקת המבט על רצון פנימי, שגגה ואחדות שאינה מוחקת את הפרט.",אבני נזר; חסידות קוצק; פולין החסידית,https://open.spotify.com/episode/5dTIktS4k7pzb2kSQbqtXB?si=bXYmRr7AQhaDStRXLBq8rg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
114,דמות,הרב יוסף רוזין (הגאון הרוגצ'ובי),1858–1936,רוגצ'וב/דווינסק,אחרונים,"למדנות, רמב""ם, שיטת בריסק-חב""ד","צפנת פענח, רמב""ם, אחדות התורה, דווינסק, חב""ד","חד בדרא' שחי עם ש""ס ורמב""ם, קרא את הרמב""ם כמקשה אחת, וחיבר כלים פילוסופיים להבנת הלכה; כתבי היד ניצלו והונחו ליסוד מפעל הדפסה בדורות הבאים.","קריאת הרמב""ם כ'מערכת-על' המאחדת הלכה, אגדה ועיון מושגי תחת תורה אחת.","הרמב""ם; בעל האור שמח; אדמו""רי חב""ד (רש""ב, ריי""צ, הרבי)",https://open.spotify.com/episode/4aUeMLx5QyMsdp0moTBcDu?si=XC1028bcQJW_6NARhTCvug&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
115,דמות,הרב יהודה משה ישועה פתיה,1859–1942,בגדד → ירושלים,אחרונים,"קבלה (האר""י), מוסר והנהגה רוחנית","בן איש חי, עץ חיים, בית לחם יהודה, דיבוקים, תיקון נשמות","תלמיד מסורת בבל שהנגיש את שיטת האר""י בביאור בהיר וכתב חיבורים מרכזיים; נודע גם במסורות תיקון נשמות ובתפילות בתקופת מלחמת העולם השנייה.",לימוד סוד כ'חובה מטהרת' המקרבת גאולה ומגינה על הנפש – גם בלי הבנה מלאה.,"בן איש חי; הרב עבדאללה סומך; מסורת האר""י",https://open.spotify.com/episode/7GkxO9MSNQCoBw1qdYuJVI?si=TKdqBtv2T9OHIX-KnQRRsQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
116,אישיות,הרב אברהם יצחק הכהן קוק – החזון שאיחד קודש וחול,1865–1935,ארץ ישראל,מודרנה מוקדמת,הגות ציונית-דתית והלכה,"קודש וחול, תשובה היסטורית, ציונות, היתר מכירה, מרכז הרב","הראי""ה קוק ראה במודרנה תהליך אלוהי ובציונות החילונית תנועת תשובה עמוקה. חיפש אחדות בין ניגודים, דיבר על התפתחות, והנהיג הלכתית-לאומית מתוך אחריות ליישוב.",האמת מתגלה במתח בין ניגודים: “הישן יתחדש והחדש יתקדש” – איחוד כוחות במקום מחיקה.,חלוצים; ישיבת 'מרכז הרב'; פולמוס ההיתר בשמיטה,https://open.spotify.com/episode/19vVkCaNfYWm6AlvbjbkRe?si=Y2-7mNX9QnCXzxz32MKpgA
117,אישיות,"הלל צייטלין (1871–1942) – פילוסוף יהודי בין ניטשה לחסידות, שנרצח בשואה",1871–1942,פולין; מזרח אירופה,סוף המאה ה-19–המאה ה-20,מחשבה,מודרנה יהודית; אקזיסטנציאליזם; חסידות; משבר אמונה,"הלל צייטלין: פילוסוף יהודי בין ניטשה לחסידות, מבקר תרבות שחוזר לעומק רוחני; נרצח בשואה.",החיפוש עצמו הוא עבודת ה': להפוך ספק ומודרניות למנוע של תשובה וחידוש רוחני.,"ניטשה; בובר; ברנר; חסידות חב""ד; ספרות יהודית מודרנית",https://open.spotify.com/episode/7ryT3CCkYVR89sx6pICBmo?si=IEVlOTLSSaaPlrd-XpkS1w&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
118,אישיות,"הרב כלפון משה הכהן (1874–1950) – רב ג'רבא: הלכה, הנהגה וציונות דתית בצפון אפריקה",1874–1950,ג'רבא (תוניסיה),העת החדשה,הלכה; הנהגה,פסק ספרדי; חינוך; הנהגה קהילתית; ציונות דתית צפון-אפריקאית,"הרב כלפון משה הכהן כרב ג'רבא: כתיבה הלכתית ענפה, אחריות ציבורית, וחיבור בין מסורת מקומית לתודעה לאומית.",הלכה כמנוע הנהגה: קדושה שמתרגמת לערבות קהילתית ולחזון שיבה לציון.,יהדות תוניסיה; רבני ג'רבא; הגות ציונית דתית,https://open.spotify.com/episode/2WY3JhyOz8yQg0Sjmv7CJV?si=j3_e_mVVT86419nMjA2cgQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
119,דמות,הרב יצחק אלפייה,1878–1955,"חלב, ירושלים",העת החדשה,"קבלה, מוסר, שתיקה","תענית דיבור, בית אל, ענווה, שובבי""ם",מקובל ירושלמי שפעל בשקט אדיר. הנהיג את תענית הדיבור כתיקון רוחני עמוק לזמננו.,כוח השתיקה; תיקון עולם דרך פשטות ומסירות; תיקון הדיבור בדור פרוץ.,"הרש""ש, הרב מרדכי אליהו",https://open.spotify.com/episode/0K70gzGHWICiSDkIOQKFip?si=seBOXsSEQQ6VcHFu8A6-aw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
120,דמות,הרב בן־ציון מאיר חי עוזיאל,1880–1953,יפו/תל אביב → הרבנות הראשית,עת החדשה/ראשית המדינה,"הלכה ציבורית, הנהגה לאומית","אחדות ישראל, הלכה פרגמטית, נשים, גיור, עבודה עברית, הרצוג","ראשון לציון ופוסק רואה-למרחוק שפעל באחדות היישוב והמדינה, פיתח הלכה ציבורית ריאלית, ושיתף פעולה היסטורית עם הרב הרצוג.",הלכה לאומית-ציבורית: שילוב רציונליות מיימונית עם אחריות חברתית ואחדות.,הרב הרצוג; היישוב; ילדי טהרן; מחנות קפריסין,https://open.spotify.com/episode/19Z8t6pZZjaOTG652Clx9c?si=X6Jrpy0cRxeJ5JhNPXjNBA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
121,אישיות,"הרב יעקב משה חרל""פ (1882–1951) – תלמיד הרב קוק: קבלה, תשובה וגאולת ישראל",1882–1951,ירושלים,העת החדשה; טרום המדינה,קבלה; מחשבה,תשובה; גאולה; תורת הרב קוק; פנימיות התורה,"הרב חרל""פ כתלמיד-חבר של הרב קוק: שפה של תשובה וגאולה, חיבור בין קבלה לעשייה לאומית, והשפעה בירושלים.",גאולה כתהליך נפשי-לאומי: תיקון המידות והחברה הוא חלק מן הריבונות.,הרב קוק; ישיבת מרכז הרב; כתבי תשובה וגאולה,https://open.spotify.com/episode/2n7Iq3y6sKhtYLYdjnVUFZ?si=XHTgY1ZLQtWIHvexvPIG9Q&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
122,דמות,הרב אריה לוין,1885–1969,ירושלים,העת החדשה,"חסד, חינוך, הנהגה מוסרית","הצדיק הירושלמי, בתי כלא, חסד, שואה","דמות מוסרית יוצאת דופן בירושלים, הרב של האסירים, מסמל ענווה וקדושה מעשית.",חסד כצורת חיים. ענווה מהפכנית בתוך עולם משתנה.,"הראי""ה קוק, אסירי המחתרות",https://open.spotify.com/episode/3DpekO1U2gizKVNXJlWwha?si=05N8HltrQqqY9HSnqzU_yA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
123,אישיות,פרנץ רוזנצווייג – הפילוסוף שהחזיר את האדם למרכז,1886–1929,גרמניה,מודרנה,פילוסופיה יהודית מודרנית,"כוכב הגאולה, התגלות, דיאלוג, יהדות ונצרות, תרגום תנ""ך, ALS","ב'כוכב הגאולה' מפרק את ה'כוליות' ומציע מבנה של אלוהים-אדם-עולם דרך בריאה/התגלות/גאולה. הקים Lehrhaus בפרנקפורט ותרגם תנ""ך עם בובר, תוך התמודדות עם ALS.",התגלות כדיבור ואהבה שמולידים אחריות; אמת נוצרת במפגש ולא במערכת מופשטת.,מרטין בובר; Lehrhaus; עמנואל לוינס (השפעה מאוחרת),https://open.spotify.com/episode/7EpaIjYgIJVmSWDAsXDI7g?si=u6IC097XQ-KpBRfRRIGqcg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
124,דמות,פרנץ רוזנצווייג,1886–1929,גרמניה,מודרנה,הגות יהודית מודרנית,"פילוסופיה, תיאולוגיה, גרמניה, לימוד, דיאלוג",הוגה גרמני יהודי שהתלבט בין התנצרות לבין חזרה ליהדות. חיבר את 'כוכב הגאולה' – יצירה פילוסופית-תיאולוגית מרשימה.,"הגאולה כתהליך מתמשך הנע בין אדם, עולם ואלוהים, במבנה דיאלוגי קיומי.","מרטין בובר, הרב נחום גלאטמן",https://open.spotify.com/episode/7EpaIjYgIJVmSWDAsXDI7g?si=u6IC097XQ-KpBRfRRIGqcg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
125,אישיות,"האדמו""ר מפיאסצ'נה (1889–1942) – קודש בתוך החורבן: תורה פסיכולוגית, אמונה ועמידה בגטו ורשה",1889–1942,פולין; גטו ורשה,המאה ה-20; תקופת השואה,חסידות; חינוך,אמונה בשבר; פסיכולוגיה רוחנית; חינוך; גטו ורשה,"דיוקן של הרבי מפיאסצ'נה כמחנך והוגה: עומק חסידי, הבנת נפש, ואומץ להמשיך ללמד ולכתוב בתוך גטו ורשה.",קדושה שמסרבת לברוח: עבודת ה' נבנית מתוך אמת פנימית גם כשהמציאות קורסת.,חסידות פולין; כתבי דרשות מן השואה; תנועת המוסר,https://open.spotify.com/episode/462p60k0hrJUeoi1OiEtfD?si=fGjrjZNLSu6BZj6EPEL5iQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
126,דמות,הרב עובדיה הדאיה,1889–1969,ירושלים,העת החדשה,"קבלה, פסיקה, ציונות דתית","ישכיל עבדי, בית אל, ציונות מיסטית, אתחלתא דגאולה","פוסק ומקובל שזיהה את קום המדינה כמעשה אלוקי. תמך בציונות לא כפשרה, אלא כהתגלות גאולית.",קבלה שאינה בורחת מהמציאות אלא פועלת בתוכה; גאולה כתהליך מדיני־מיסטי.,"האר""י, הזוהר, הרב מרדכי אליהו",https://open.spotify.com/episode/7mpAfEie4L4nvzNmMg7hji?si=91Ams8d9TpakDgA8SdXJqA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
127,דמות,חכם מנחם מנשה,1892–1968,"טורקיה, ירושלים",העת החדשה,"קבלה, חסד, הלכה","אהבת חיים, צדיק נסתר, ל״ו צדיקים, פחח, צדקה בסתר",צדיק נסתר שפעל כפחח פשוט ביום ומקובל בלילה. כתב את ספר 'אהבת חיים' והשפיע על קהילות רבות במסירות וענווה.,קדושה מתוך הסתר וענווה; חסד כמנוע רוחני קוסמי; חיבור בין הלכה לחיים הפשוטים.,"הרב מרדכי אליהו, הרב מרדכי שרעבי, הרב יצחק אלפייה",https://open.spotify.com/episode/12xZKv1fqjzLtuftGEYqvf?si=Qr5Qc3iXRF2xIBPlFci2Jw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
128,דמות,הרב יוסף משאש,1892–1974,מקנס (מרוקו) → חיפה,עת החדשה/ישראל,"הלכה, היסטוריה, הנהגה","פסיקה ריאלית, רציונליזם, אחדות ישראל, יהדות המגרב, אתחלתא דגאולה","איש אשכולות שראה במציאות כלי להבנת ההלכה, פסק באומץ מתוך חמלה ורוח הזמן, וחיזק את אחדות ישראל בין גולה לתקומה.",הלכה נצחית שפוגשת זמן: ריאליזם הלכתי כמפתח לשמירת המסורת בחברה משתנה.,קהילות המגרב; רבנות חיפה; שיח ציוני-דתי,https://open.spotify.com/episode/2bY5WI2sxqsa1csNcbHXoG?si=o6TWKG6NR_eHzMOu8YluCw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
129,דמות,מר שושני,1895–1968,"גלותי, בינלאומי",המאה ה־20,"תורה, פילוסופיה, מתודולוגיה","גאונות, סוד, קושיה, אינטלקטואליות",דמות חידתית וגאון בלתי נתפס. פירק ודחף לחשיבה עצמאית בלי להותיר שיטה סדורה.,הקושיה כפתח לאמת. אין פרשנות סופית לתורה.,"לוינס, אלי ויזל, מניטו",https://open.spotify.com/episode/0Kpu3qt4CJeGGkKLHxBgQA?si=aPU_BcsRTTClXoOtQTeJPA
